Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Certification Date,Quality of patient care star rating,How often the home health team began their patients' care in a timely manner,How often the home health team determined whether patients received a flu shot for the current flu season,How often patients got better at walking or moving around,How often patients got better at getting in and out of bed,How often patients got better at bathing,How often patients' breathing improved,How often patients got better at taking their drugs correctly by mouth,How often home health patients had to be admitted to the hospital,"How often patients receiving home health care needed urgent, unplanned care in the ER without being admitted",Changes in skin integrity post-acute care: pressure ulcer/injury,How often physician-recommended actions to address medication issues were completely timely,Percent of Residents Experiencing One or More Falls with Major Injury,Application of Percent of Long Term Care Hospital Patients with an Admission and Discharge Functional Assessment and a Care Plan that Addresses Function,DTC Numerator,DTC Denominator,DTC Observed Rate,DTC Risk-Standardized Rate,DTC Risk-Standardized Rate (Lower Limit),DTC Risk-Standardized Rate (Upper Limit),DTC Performance Categorization,PPR Numerator,PPR Denominator,PPR Observed Rate,PPR Risk-Standardized Rate,PPR Risk-Standardized Rate (Lower Limit),PPR Risk-Standardized Rate (Upper Limit),PPR Performance Categorization,PPH Numerator,PPH Denominator,PPH Observed Rate,PPH Risk-Standardized Rate,PPH Risk-Standardized Rate (Lower Limit),PPH Risk-Standardized Rate (Upper Limit),PPH Performance Categorization,"How much Medicare spends on an episode of care at this agency, compared to Medicare spending across all agencies nationally","No. of episodes to calc how much Medicare spends per episode of care at agency, compared to spending at all agencies (national)",Latitude,Longitude,Provider_Name_1,Provider_Name_2,Provider_Name_3,Provider_Name_4,Provider_Name_5,Provider_Name_6,Provider_Name_7,Provider_Name_8,Provider_Name_9,Provider_Name_10
4.0,1.0,1.0,1.0,1.0,1.0,0.0,11484.0,4,99.3,60.1,89.2,93.8,86.9,89.0,85.4,11.8,14.0,0.0,99.1,0.9,99.9,525.0,652.0,80.52,87.89,84.24,91.0,2.0,12.0,332.0,3.61,3.91,2.87,5.14,1.0,34.0,327.0,10.4,9.41,7.02,12.19,1.0,0.97,1181.0,34.8038797,-86.9806563,0.042951524,-0.026643496,0.035136618,-0.013305622,-0.023471216,-0.0498112,-0.02227873,0.04819731,0.02395128,-0.049069036
5.0,1.0,1.0,1.0,1.0,1.0,1.0,11408.0,4,99.9,49.2,89.8,89.5,88.4,87.5,85.5,13.2,17.0,0.1,99.6,0.0,100.0,291.0,368.0,79.08,83.34,78.64,87.32,2.0,1.0,92.0,1.09,3.54,2.25,5.09,1.0,15.0,170.0,8.82,9.79,6.48,13.99,1.0,0.91,680.0,31.7909041,-85.9730985,0.041429847,0.03835424,0.046565462,-0.049293883,-0.045723755,-0.025261784,0.0024344982,0.014948726,-0.021505961,0.039338954
5.0,1.0,1.0,1.0,0.0,1.0,1.0,11408.0,3.5,99.7,49.3,88.2,87.7,89.1,89.6,84.8,16.5,19.0,0.7,98.7,2.2,100.0,174.0,221.0,78.73,83.38,77.68,88.57,2.0,5.0,95.0,5.26,4.13,2.75,6.06,1.0,19.0,122.0,15.57,13.85,9.24,19.82,1.0,0.93,446.0,33.2773548,-85.8242805,-0.00046873986,-0.027342845,0.018783992,-0.033334833,-0.0003404945,0.014163911,-0.046733413,-0.006268236,-0.006868598,-0.0004762411
4.0,1.0,1.0,1.0,1.0,1.0,1.0,11406.0,4.5,100.0,78.2,89.8,89.9,93.2,83.5,88.8,12.1,18.5,0.9,97.5,0.0,100.0,148.0,177.0,83.62,89.4,82.31,94.06,2.0,6.0,85.0,7.06,4.31,3.04,6.07,1.0,8.0,68.0,11.76,10.56,6.66,16.25,1.0,0.88,427.0,34.1420976,-87.9902986,-0.02933697,-0.003672737,0.005849302,-0.022232717,0.044046193,-0.010970021,0.008561599,0.012773365,0.019728696,-0.033757728
3.0,1.0,1.0,1.0,1.0,0.0,1.0,11330.0,2.5,98.9,60.8,76.2,84.6,77.1,69.0,75.5,14.3,14.5,0.0,98.1,1.3,100.0,147.0,238.0,61.76,68.57,61.64,74.46,0.0,3.0,104.0,2.88,3.77,2.55,5.52,1.0,9.0,98.0,9.18,8.77,5.66,12.94,1.0,0.93,455.0,34.6652377,-86.040922,-0.028959638,-0.020463724,-0.016965955,0.041846216,-0.041518345,-0.011637482,0.013710934,0.027224272,0.007502979,-0.0015003443
4.0,1.0,1.0,1.0,1.0,1.0,1.0,11199.0,4,99.7,67.9,85.6,87.8,88.9,91.0,85.8,14.3,9.4,0.1,98.5,1.5,98.8,333.0,422.0,78.91,84.76,80.67,88.4,2.0,6.0,191.0,3.14,3.64,2.62,4.97,1.0,28.0,201.0,13.93,12.59,9.11,16.61,1.0,0.99,850.0,32.835355,-86.628907,0.022629589,0.012610614,0.016171271,-0.022446007,0.038646925,0.028750282,-0.008706915,0.013042575,-0.035874646,-0.03674974
3.0,1.0,1.0,0.0,1.0,0.0,1.0,11163.0,2.5,100.0,46.1,74.2,79.8,72.8,76.6,61.9,18.7,19.3,0.6,99.6,1.6,100.0,197.0,245.0,80.41,81.96,76.79,86.46,2.0,3.0,115.0,2.61,3.76,2.67,5.33,1.0,16.0,137.0,11.68,11.9,8.28,17.92,1.0,1.0,522.0,31.5311075,-87.8990364,-0.004106605,-0.024909977,0.036137234,0.02297194,0.030049419,-0.028334325,0.02276268,-0.035843313,0.0054187896,0.047643084
4.0,1.0,1.0,1.0,1.0,1.0,1.0,11135.0,4.5,99.8,79.8,95.2,90.2,91.7,95.8,92.4,16.6,10.7,0.3,99.8,0.4,100.0,271.0,325.0,83.38,87.06,82.26,90.63,2.0,9.0,141.0,6.38,4.43,3.01,6.35,1.0,20.0,159.0,12.58,12.25,8.99,16.98,1.0,0.97,585.0,34.0074022,-85.9675719,0.029230898,-0.04426369,-0.03129371,0.034469318,-0.025182951,-0.030804833,0.030383516,0.021672642,-0.038350064,-0.019113515
4.0,1.0,1.0,1.0,1.0,0.0,1.0,11136.0,3.5,96.0,46.7,91.1,87.8,88.1,72.2,85.5,16.6,12.8,0.0,92.9,0.2,100.0,304.0,416.0,73.08,80.59,75.81,84.79,1.0,7.0,216.0,3.24,3.65,2.62,5.19,1.0,37.0,241.0,15.35,12.36,9.45,15.67,1.0,1.04,780.0,32.5526932,-86.1864002,-0.0317078,-0.042955916,-0.040730145,0.045088433,-0.019268397,-0.014341268,0.0069012167,0.04717352,0.023852646,0.009774148
4.0,1.0,1.0,1.0,1.0,1.0,1.0,11133.0,3.5,91.1,71.6,87.6,85.3,86.5,84.5,81.3,12.5,11.7,0.1,91.1,0.9,100.0,189.0,249.0,75.9,81.75,76.22,86.86,1.0,1.0,98.0,1.02,3.53,2.52,5.06,1.0,16.0,137.0,11.68,10.74,7.58,15.26,1.0,1.0,590.0,32.8276177,-85.7540143,0.03187058,0.043864936,0.030260319,-0.03415992,-0.008918804,0.035818584,-0.0024469495,0.03155477,0.031884413,0.04710853
